panel,subtype,segment,n,min,p05,median,mean,p95,max,n_any_ambiguity,mean_ambiguous_fraction,n_non_acgtn,n_pass_qc
all_valid,H1N1,HA,46125,1695.0,1701.0,1734.0,1729.0096910569105,1777.0,1799.0,363,1.4045823301666618e-05,0,46125
all_valid,H1N1,NA,46125,1350.0,1410.0,1420.0,1423.944888888889,1458.0,1493.0,362,1.2773158141521164e-05,0,46125
all_valid,H3N2,HA,65631,1672.0,1701.0,1735.0,1723.9359296673829,1762.0,1800.0,940,2.3397867355392993e-05,0,65631
all_valid,H3N2,NA,65631,1251.0,1410.0,1436.0,1429.41510871387,1466.0,1590.0,1664,4.287172681226606e-05,0,65631
full_panel,H1N1,HA,36753,1695.0,1701.0,1734.0,1729.1784888308437,1777.0,1799.0,350,1.6974567000434082e-05,0,36753
full_panel,H1N1,NA,36753,1350.0,1410.0,1420.0,1424.0765379696895,1458.0,1493.0,333,1.513744774269318e-05,0,36753
full_panel,H3N2,HA,45553,1672.0,1701.0,1732.0,1723.5519943801726,1762.0,1800.0,897,3.272433134314725e-05,0,45553
full_panel,H3N2,NA,45553,1251.0,1410.0,1432.0,1428.763813579786,1466.0,1590.0,1255,5.2680428388302984e-05,0,45553
mvp_panel,H1N1,HA,5000,1695.0,1699.9,1724.0,1726.4388,1777.0,1797.0,39,9.802442695077704e-06,0,5000
mvp_panel,H1N1,NA,5000,1350.0,1410.0,1418.0,1423.269,1458.0,1478.0,35,9.232038383565519e-06,0,5000
mvp_panel,H3N2,HA,5000,1701.0,1701.0,1721.0,1721.3848,1762.0,1790.0,45,1.7633674051320645e-05,0,5000
mvp_panel,H3N2,NA,5000,1398.0,1410.0,1431.0,1428.8576,1466.0,1510.0,79,3.2344602939384984e-05,0,5000
smoke_panel,H1N1,HA,200,1698.0,1698.0,1732.5,1728.605,1777.0,1778.0,1,8.660508083140878e-06,0,200
smoke_panel,H1N1,NA,200,1410.0,1410.0,1424.0,1424.72,1458.0,1463.0,4,3.147370582743081e-05,0,200
smoke_panel,H3N2,HA,200,1701.0,1701.0,1718.0,1718.86,1751.0,1774.0,5,5.7449585877381554e-05,0,200
smoke_panel,H3N2,NA,200,1407.0,1410.0,1431.0,1428.375,1466.0,1467.0,7,6.914249049040912e-05,0,200
