panel,year,subtype,n_pairs
all_valid,2000,H1N1,87
all_valid,2000,H3N2,172
all_valid,2001,H1N1,121
all_valid,2001,H3N2,93
all_valid,2002,H1N1,11
all_valid,2002,H3N2,221
all_valid,2003,H1N1,38
all_valid,2003,H3N2,446
all_valid,2004,H1N1,8
all_valid,2004,H3N2,346
all_valid,2005,H1N1,57
all_valid,2005,H3N2,352
all_valid,2006,H1N1,99
all_valid,2006,H3N2,143
all_valid,2007,H1N1,510
all_valid,2007,H3N2,321
all_valid,2008,H1N1,355
all_valid,2008,H3N2,366
all_valid,2009,H1N1,5863
all_valid,2009,H3N2,753
all_valid,2010,H1N1,1594
all_valid,2010,H3N2,886
all_valid,2011,H1N1,1168
all_valid,2011,H3N2,1136
all_valid,2012,H1N1,648
all_valid,2012,H3N2,1811
all_valid,2013,H1N1,1498
all_valid,2013,H3N2,1913
all_valid,2014,H1N1,1944
all_valid,2014,H3N2,3110
all_valid,2015,H1N1,2330
all_valid,2015,H3N2,4570
all_valid,2016,H1N1,4618
all_valid,2016,H3N2,5287
all_valid,2017,H1N1,2684
all_valid,2017,H3N2,10851
all_valid,2018,H1N1,6984
all_valid,2018,H3N2,7245
all_valid,2019,H1N1,9751
all_valid,2019,H3N2,13446
all_valid,2020,H1N1,4705
all_valid,2020,H3N2,2249
all_valid,2021,H1N1,714
all_valid,2021,H3N2,6861
all_valid,2022,H1N1,338
all_valid,2022,H3N2,3053
smoke_panel,2000,H1N1,9
smoke_panel,2000,H3N2,9
smoke_panel,2001,H1N1,8
smoke_panel,2001,H3N2,8
smoke_panel,2002,H1N1,9
smoke_panel,2002,H3N2,8
smoke_panel,2003,H1N1,9
smoke_panel,2003,H3N2,9
smoke_panel,2004,H1N1,8
smoke_panel,2004,H3N2,9
smoke_panel,2005,H1N1,9
smoke_panel,2005,H3N2,7
smoke_panel,2006,H1N1,9
smoke_panel,2006,H3N2,8
smoke_panel,2007,H1N1,9
smoke_panel,2007,H3N2,7
smoke_panel,2008,H1N1,8
smoke_panel,2008,H3N2,9
smoke_panel,2009,H1N1,9
smoke_panel,2009,H3N2,9
smoke_panel,2010,H1N1,8
smoke_panel,2010,H3N2,9
smoke_panel,2011,H1N1,7
smoke_panel,2011,H3N2,9
smoke_panel,2012,H1N1,9
smoke_panel,2012,H3N2,9
smoke_panel,2013,H1N1,9
smoke_panel,2013,H3N2,9
smoke_panel,2014,H1N1,9
smoke_panel,2014,H3N2,9
smoke_panel,2015,H1N1,9
smoke_panel,2015,H3N2,9
smoke_panel,2016,H1N1,9
smoke_panel,2016,H3N2,9
smoke_panel,2017,H1N1,9
smoke_panel,2017,H3N2,9
smoke_panel,2018,H1N1,9
smoke_panel,2018,H3N2,9
smoke_panel,2019,H1N1,9
smoke_panel,2019,H3N2,9
smoke_panel,2020,H1N1,8
smoke_panel,2020,H3N2,9
smoke_panel,2021,H1N1,9
smoke_panel,2021,H3N2,9
smoke_panel,2022,H1N1,9
smoke_panel,2022,H3N2,9
mvp_panel,2000,H1N1,87
mvp_panel,2000,H3N2,161
mvp_panel,2001,H1N1,113
mvp_panel,2001,H3N2,91
mvp_panel,2002,H1N1,11
mvp_panel,2002,H3N2,200
mvp_panel,2003,H1N1,30
mvp_panel,2003,H3N2,219
mvp_panel,2004,H1N1,8
mvp_panel,2004,H3N2,219
mvp_panel,2005,H1N1,55
mvp_panel,2005,H3N2,218
mvp_panel,2006,H1N1,93
mvp_panel,2006,H3N2,129
mvp_panel,2007,H1N1,227
mvp_panel,2007,H3N2,218
mvp_panel,2008,H1N1,225
mvp_panel,2008,H3N2,219
mvp_panel,2009,H1N1,367
mvp_panel,2009,H3N2,220
mvp_panel,2010,H1N1,263
mvp_panel,2010,H3N2,224
mvp_panel,2011,H1N1,244
mvp_panel,2011,H3N2,225
mvp_panel,2012,H1N1,240
mvp_panel,2012,H3N2,225
mvp_panel,2013,H1N1,249
mvp_panel,2013,H3N2,227
mvp_panel,2014,H1N1,251
mvp_panel,2014,H3N2,229
mvp_panel,2015,H1N1,276
mvp_panel,2015,H3N2,235
mvp_panel,2016,H1N1,363
mvp_panel,2016,H3N2,247
mvp_panel,2017,H1N1,282
mvp_panel,2017,H3N2,268
mvp_panel,2018,H1N1,387
mvp_panel,2018,H3N2,256
mvp_panel,2019,H1N1,449
mvp_panel,2019,H3N2,281
mvp_panel,2020,H1N1,338
mvp_panel,2020,H3N2,228
mvp_panel,2021,H1N1,224
mvp_panel,2021,H3N2,232
mvp_panel,2022,H1N1,218
mvp_panel,2022,H3N2,229
full_panel,2000,H1N1,87
full_panel,2000,H3N2,170
full_panel,2001,H1N1,113
full_panel,2001,H3N2,92
full_panel,2002,H1N1,11
full_panel,2002,H3N2,211
full_panel,2003,H1N1,30
full_panel,2003,H3N2,393
full_panel,2004,H1N1,8
full_panel,2004,H3N2,334
full_panel,2005,H1N1,55
full_panel,2005,H3N2,293
full_panel,2006,H1N1,93
full_panel,2006,H3N2,131
full_panel,2007,H1N1,476
full_panel,2007,H3N2,310
full_panel,2008,H1N1,341
full_panel,2008,H3N2,352
full_panel,2009,H1N1,4761
full_panel,2009,H3N2,644
full_panel,2010,H1N1,1433
full_panel,2010,H3N2,679
full_panel,2011,H1N1,1066
full_panel,2011,H3N2,1015
full_panel,2012,H1N1,588
