panel,subtype,protein,dinucleotide,n,mean,median,std,q05,q95
mvp,H1N1,HA,AA,5000,1.0498052310305477,1.0456654764802578,0.022451272739227156,1.0212003529411764,1.0994012185139561
mvp,H1N1,NA,AA,5000,1.0796282328812232,1.0796114818387057,0.025664466701767828,1.0428475342322605,1.1232676788148208
mvp,H3N2,HA,AA,5000,1.102090909781665,1.1004182393015634,0.013942458278403612,1.0829134442644575,1.1305764797896285
mvp,H3N2,NA,AA,5000,1.0736046597127258,1.0749014859421528,0.018507115692523536,1.0417042102814609,1.101583792784231
smoke,H1N1,HA,AA,200,1.0587575710997132,1.0541460952566788,0.026193850250425327,1.0222981543074339,1.108140737053935
smoke,H1N1,NA,AA,200,1.0894130750438393,1.0912077694820796,0.02817556125684086,1.0451834189326776,1.1336534743296958
smoke,H3N2,HA,AA,200,1.10192373878478,1.1008798297607512,0.014661066345014427,1.0809936654785064,1.131825621107384
smoke,H3N2,NA,AA,200,1.0731644735731813,1.0737720543199871,0.019222542700243598,1.0378125108060445,1.0993182865511884
mvp,H1N1,HA,AC,5000,0.9586869035784049,0.9655153610771217,0.03614176728177036,0.8830355071930903,1.0080511511773567
mvp,H1N1,NA,AC,5000,0.9199285124480869,0.9132166107018,0.028961153888386004,0.886597310375265,0.9856577026545656
mvp,H3N2,HA,AC,5000,0.9208083625445359,0.9205396533194887,0.015063750495294414,0.8977517689808205,0.9451732729154357
mvp,H3N2,NA,AC,5000,0.8890998160309939,0.8903036514776601,0.02055803243244209,0.856515507128198,0.9204179450249236
smoke,H1N1,HA,AC,200,0.9435268813808146,0.9500064818855162,0.042875866748538216,0.8598161722603515,1.0066269925173728
smoke,H1N1,NA,AC,200,0.9348731193397625,0.9191444453993907,0.03725673772694142,0.8895108083615069,0.9947366792670639
smoke,H3N2,HA,AC,200,0.9226958925883995,0.9216734937431442,0.01612452944223818,0.8992008597401837,0.9505677447120318
smoke,H3N2,NA,AC,200,0.8889894254610821,0.8888501464747072,0.019953225470503762,0.8583644530658626,0.9204696436869206
mvp,H1N1,HA,AG,5000,0.9281948355936002,0.9249661136247243,0.02305365420309431,0.8951694438837531,0.9705903610885369
mvp,H1N1,NA,AG,5000,0.8654597900068304,0.8660766821228949,0.017888768504363245,0.8297069629617384,0.8921606987563286
mvp,H3N2,HA,AG,5000,0.8636419953260225,0.8626568576137104,0.01691672519369827,0.836603918637872,0.8929978728876798
mvp,H3N2,NA,AG,5000,0.9343459763959592,0.9302375937966018,0.025342742929535023,0.8963630315533887,0.9760088621367708
smoke,H1N1,HA,AG,200,0.9253854392761357,0.9241403745089767,0.023348929235806438,0.892597644686191,0.9652934826496069
smoke,H1N1,NA,AG,200,0.8593107304938694,0.8618216939148267,0.02134945760531708,0.8240609695742194,0.8915379073361716
smoke,H3N2,HA,AG,200,0.8634368597681075,0.8624373069689826,0.017276444977343864,0.8316861552819459,0.8928515797512988
smoke,H3N2,NA,AG,200,0.9340956549077483,0.9279473874437318,0.025359561317363017,0.8961618335331979,0.9782040613928696
mvp,H1N1,HA,AT,5000,1.0234735802736705,1.0238679440169396,0.015277473187740236,0.9963984292484767,1.0471892417262394
mvp,H1N1,NA,AT,5000,1.0768760818522856,1.083231988700536,0.03418341289834765,1.006410853076854,1.116783242715325
mvp,H3N2,HA,AT,5000,1.0436810390641211,1.0449166798942855,0.016182531116916154,1.0154951150226734,1.0674074974298176
mvp,H3N2,NA,AT,5000,1.0506708491608725,1.051765382298611,0.02058379084276943,1.0140017421713239,1.0825511873734874
smoke,H1N1,HA,AT,200,1.0256582335249471,1.0257008876462328,0.01579661970794202,0.997563281656329,1.0499057770407307
smoke,H1N1,NA,AT,200,1.0596875092324558,1.0709878720667985,0.04216683627985185,0.9907104664668775,1.1162028812304663
smoke,H3N2,HA,AT,200,1.0425805799954149,1.0453144695428298,0.016911877410947983,1.010597772539303,1.0659272423133035
smoke,H3N2,NA,AT,200,1.0515407273809085,1.0538980129451767,0.021205044894890807,1.0103733106005865,1.079723502465965
mvp,H1N1,HA,CA,5000,1.3197881246144265,1.3258032141591458,0.027449914185023933,1.259424782948461,1.3533322994255161
mvp,H1N1,NA,CA,5000,1.3670417900993683,1.3680229961280352,0.024435663251536024,1.3239900618546554,1.4041303154359701
mvp,H3N2,HA,CA,5000,1.3125134755722345,1.3119308927111608,0.016619579307044233,1.2857710020123698,1.3398925452469126
mvp,H3N2,NA,CA,5000,1.3759337344558065,1.3766572217846273,0.02158134914518076,1.3399093506847988,1.411006689046497
smoke,H1N1,HA,CA,200,1.307637949682678,1.3171497722647074,0.03375860061927964,1.25336314552171,1.3547888510308146
smoke,H1N1,NA,CA,200,1.3753629034380084,1.3793838029978893,0.025501503527386157,1.3276123044389863,1.4089806309963333
smoke,H3N2,HA,CA,200,1.311489934269863,1.3134631455566104,0.01602094016581748,1.2825297871425874,1.3334111184405135
smoke,H3N2,NA,CA,200,1.3753130296595146,1.3754831246704289,0.023519082029073417,1.3379631592353234,1.414113262678722
