subtype,protein,internal_stop_count,n_sequences
H1N1,HA,0,2355
H1N1,HA,1,256
H1N1,HA,2,340
H1N1,HA,3,1
H1N1,HA,30,3
H1N1,HA,31,20
H1N1,HA,32,149
H1N1,HA,33,140
H1N1,HA,34,28
H1N1,HA,35,12
H1N1,HA,36,10
H1N1,HA,37,12
H1N1,HA,38,124
H1N1,HA,39,513
H1N1,HA,40,411
H1N1,HA,41,123
H1N1,HA,42,274
H1N1,HA,43,185
H1N1,HA,44,36
H1N1,HA,45,6
H1N1,HA,46,2
H1N1,NA,0,2501
H1N1,NA,1,585
H1N1,NA,2,4
H1N1,NA,33,3
H1N1,NA,34,5
H1N1,NA,35,27
H1N1,NA,36,152
H1N1,NA,37,1294
H1N1,NA,38,252
H1N1,NA,39,58
H1N1,NA,40,53
H1N1,NA,41,52
H1N1,NA,42,13
H1N1,NA,44,1
H3N2,HA,0,1936
H3N2,HA,1,149
H3N2,HA,2,506
H3N2,HA,3,1
H3N2,HA,33,5
H3N2,HA,34,55
H3N2,HA,35,72
H3N2,HA,36,288
H3N2,HA,37,218
H3N2,HA,38,247
H3N2,HA,39,260
H3N2,HA,40,369
H3N2,HA,41,541
H3N2,HA,42,205
H3N2,HA,43,85
H3N2,HA,44,33
H3N2,HA,45,28
H3N2,HA,46,2
H3N2,NA,0,2064
H3N2,NA,1,1032
H3N2,NA,2,1
H3N2,NA,30,1
H3N2,NA,31,3
H3N2,NA,32,12
H3N2,NA,33,59
H3N2,NA,34,246
H3N2,NA,35,129
H3N2,NA,36,469
H3N2,NA,37,559
H3N2,NA,38,358
H3N2,NA,39,57
H3N2,NA,40,10
