representation,group_a,group_b,distance
kmer3_freq,HA-H1N1,HA-H1N1,0.0
kmer3_freq,HA-H1N1,HA-H3N2,0.027667447569732752
kmer3_freq,HA-H1N1,NA-H1N1,0.03711949474215432
kmer3_freq,HA-H1N1,NA-H3N2,0.03913766443663916
kmer3_freq,HA-H3N2,HA-H1N1,0.027667447569732752
kmer3_freq,HA-H3N2,HA-H3N2,0.0
kmer3_freq,HA-H3N2,NA-H1N1,0.03545947584299359
kmer3_freq,HA-H3N2,NA-H3N2,0.034879979287816686
kmer3_freq,NA-H1N1,HA-H1N1,0.03711949474215432
kmer3_freq,NA-H1N1,HA-H3N2,0.03545947584299359
kmer3_freq,NA-H1N1,NA-H1N1,0.0
kmer3_freq,NA-H1N1,NA-H3N2,0.028800678891807593
kmer3_freq,NA-H3N2,HA-H1N1,0.03913766443663916
kmer3_freq,NA-H3N2,HA-H3N2,0.034879979287816686
kmer3_freq,NA-H3N2,NA-H1N1,0.028800678891807593
kmer3_freq,NA-H3N2,NA-H3N2,0.0
kmer4_freq,HA-H1N1,HA-H1N1,0.0
kmer4_freq,HA-H1N1,HA-H3N2,0.028926685659608358
kmer4_freq,HA-H1N1,NA-H1N1,0.03317123088932992
kmer4_freq,HA-H1N1,NA-H3N2,0.03475457160040502
kmer4_freq,HA-H3N2,HA-H1N1,0.028926685659608358
kmer4_freq,HA-H3N2,HA-H3N2,0.0
kmer4_freq,HA-H3N2,NA-H1N1,0.0341020565251744
kmer4_freq,HA-H3N2,NA-H3N2,0.034554670243825185
kmer4_freq,NA-H1N1,HA-H1N1,0.03317123088932992
kmer4_freq,NA-H1N1,HA-H3N2,0.0341020565251744
kmer4_freq,NA-H1N1,NA-H1N1,0.0
kmer4_freq,NA-H1N1,NA-H3N2,0.03070500743677913
kmer4_freq,NA-H3N2,HA-H1N1,0.03475457160040502
kmer4_freq,NA-H3N2,HA-H3N2,0.034554670243825185
kmer4_freq,NA-H3N2,NA-H1N1,0.03070500743677913
kmer4_freq,NA-H3N2,NA-H3N2,0.0
kmer5_freq,HA-H1N1,HA-H1N1,0.0
kmer5_freq,HA-H1N1,HA-H3N2,0.028872131390794788
kmer5_freq,HA-H1N1,NA-H1N1,0.030887832299555246
kmer5_freq,HA-H1N1,NA-H3N2,0.031939610079039095
kmer5_freq,HA-H3N2,HA-H1N1,0.028872131390794788
kmer5_freq,HA-H3N2,HA-H3N2,0.0
kmer5_freq,HA-H3N2,NA-H1N1,0.031913773338357834
kmer5_freq,HA-H3N2,NA-H3N2,0.03296758160035821
kmer5_freq,NA-H1N1,HA-H1N1,0.030887832299555246
kmer5_freq,NA-H1N1,HA-H3N2,0.031913773338357834
kmer5_freq,NA-H1N1,NA-H1N1,0.0
kmer5_freq,NA-H1N1,NA-H3N2,0.03218934899001274
kmer5_freq,NA-H3N2,HA-H1N1,0.031939610079039095
kmer5_freq,NA-H3N2,HA-H3N2,0.03296758160035821
kmer5_freq,NA-H3N2,NA-H1N1,0.03218934899001274
kmer5_freq,NA-H3N2,NA-H3N2,0.0
kmer3_tfidf,HA-H1N1,HA-H1N1,0.0
kmer3_tfidf,HA-H1N1,HA-H3N2,0.19286138881592105
kmer3_tfidf,HA-H1N1,NA-H1N1,0.2597868784929876
kmer3_tfidf,HA-H1N1,NA-H3N2,0.2744668711939334
kmer3_tfidf,HA-H3N2,HA-H1N1,0.19286138881592105
kmer3_tfidf,HA-H3N2,HA-H3N2,0.0
kmer3_tfidf,HA-H3N2,NA-H1N1,0.2501168457454348
kmer3_tfidf,HA-H3N2,NA-H3N2,0.2464589573106799
kmer3_tfidf,NA-H1N1,HA-H1N1,0.2597868784929876
kmer3_tfidf,NA-H1N1,HA-H3N2,0.2501168457454348
kmer3_tfidf,NA-H1N1,NA-H1N1,0.0
kmer3_tfidf,NA-H1N1,NA-H3N2,0.20652410919179076
kmer3_tfidf,NA-H3N2,HA-H1N1,0.2744668711939334
kmer3_tfidf,NA-H3N2,HA-H3N2,0.2464589573106799
kmer3_tfidf,NA-H3N2,NA-H1N1,0.20652410919179076
kmer3_tfidf,NA-H3N2,NA-H3N2,0.0
kmer4_tfidf,HA-H1N1,HA-H1N1,0.0
kmer4_tfidf,HA-H1N1,HA-H3N2,0.3734146230756178
kmer4_tfidf,HA-H1N1,NA-H1N1,0.43372200175052855
kmer4_tfidf,HA-H1N1,NA-H3N2,0.4599129398627957
kmer4_tfidf,HA-H3N2,HA-H1N1,0.3734146230756178
kmer4_tfidf,HA-H3N2,HA-H3N2,0.0
kmer4_tfidf,HA-H3N2,NA-H1N1,0.4474306775388129
kmer4_tfidf,HA-H3N2,NA-H3N2,0.45878359329984936
kmer4_tfidf,NA-H1N1,HA-H1N1,0.43372200175052855
kmer4_tfidf,NA-H1N1,HA-H3N2,0.4474306775388129
kmer4_tfidf,NA-H1N1,NA-H1N1,0.0
kmer4_tfidf,NA-H1N1,NA-H3N2,0.4158478730558099
kmer4_tfidf,NA-H3N2,HA-H1N1,0.4599129398627957
kmer4_tfidf,NA-H3N2,HA-H3N2,0.45878359329984936
kmer4_tfidf,NA-H3N2,NA-H1N1,0.4158478730558099
kmer4_tfidf,NA-H3N2,NA-H3N2,0.0
codon_freq,HA-H1N1,HA-H1N1,0.0
codon_freq,HA-H1N1,HA-H3N2,0.056090344878136814
codon_freq,HA-H1N1,NA-H1N1,0.07004239050314817
codon_freq,HA-H1N1,NA-H3N2,0.06837713926584219
codon_freq,HA-H3N2,HA-H1N1,0.056090344878136814
codon_freq,HA-H3N2,HA-H3N2,0.0
codon_freq,HA-H3N2,NA-H1N1,0.05802194974898022
codon_freq,HA-H3N2,NA-H3N2,0.058132356586190405
codon_freq,NA-H1N1,HA-H1N1,0.07004239050314817
codon_freq,NA-H1N1,HA-H3N2,0.05802194974898022
codon_freq,NA-H1N1,NA-H1N1,0.0
codon_freq,NA-H1N1,NA-H3N2,0.0493746212052338
codon_freq,NA-H3N2,HA-H1N1,0.06837713926584219
codon_freq,NA-H3N2,HA-H3N2,0.058132356586190405
codon_freq,NA-H3N2,NA-H1N1,0.0493746212052338
codon_freq,NA-H3N2,NA-H3N2,0.0
