tokenizer,group_a,group_b,js_distance
cds_codon,HA-H1N1,HA-H1N1,0.0
cds_codon,HA-H1N1,HA-H3N2,0.1941286836444269
cds_codon,HA-H1N1,NA-H1N1,0.23171959942132583
cds_codon,HA-H1N1,NA-H3N2,0.24210094356087147
cds_codon,HA-H3N2,HA-H1N1,0.1941286836444269
cds_codon,HA-H3N2,HA-H3N2,0.0
cds_codon,HA-H3N2,NA-H1N1,0.21441599608709153
cds_codon,HA-H3N2,NA-H3N2,0.21041691863517734
cds_codon,NA-H1N1,HA-H1N1,0.23171959942132583
cds_codon,NA-H1N1,HA-H3N2,0.21441599608709153
cds_codon,NA-H1N1,NA-H1N1,0.0
cds_codon,NA-H1N1,NA-H3N2,0.18428875650399812
cds_codon,NA-H3N2,HA-H1N1,0.24210094356087147
cds_codon,NA-H3N2,HA-H3N2,0.21041691863517734
cds_codon,NA-H3N2,NA-H1N1,0.18428875650399812
cds_codon,NA-H3N2,NA-H3N2,0.0
cds_frame_k3,HA-H1N1,HA-H1N1,0.0
cds_frame_k3,HA-H1N1,HA-H3N2,0.1941286836444269
cds_frame_k3,HA-H1N1,NA-H1N1,0.23171959942132583
cds_frame_k3,HA-H1N1,NA-H3N2,0.24210094356087147
cds_frame_k3,HA-H3N2,HA-H1N1,0.1941286836444269
cds_frame_k3,HA-H3N2,HA-H3N2,0.0
cds_frame_k3,HA-H3N2,NA-H1N1,0.21441599608709153
cds_frame_k3,HA-H3N2,NA-H3N2,0.21041691863517734
cds_frame_k3,NA-H1N1,HA-H1N1,0.23171959942132583
cds_frame_k3,NA-H1N1,HA-H3N2,0.21441599608709153
cds_frame_k3,NA-H1N1,NA-H1N1,0.0
cds_frame_k3,NA-H1N1,NA-H3N2,0.18428875650399812
cds_frame_k3,NA-H3N2,HA-H1N1,0.24210094356087147
cds_frame_k3,NA-H3N2,HA-H3N2,0.21041691863517734
cds_frame_k3,NA-H3N2,NA-H1N1,0.18428875650399812
cds_frame_k3,NA-H3N2,NA-H3N2,0.0
cds_frame_k6,HA-H1N1,HA-H1N1,0.0
cds_frame_k6,HA-H1N1,HA-H3N2,0.8706047244007263
cds_frame_k6,HA-H1N1,NA-H1N1,0.8987931503727956
cds_frame_k6,HA-H1N1,NA-H3N2,0.893491522221331
cds_frame_k6,HA-H3N2,HA-H1N1,0.8706047244007263
cds_frame_k6,HA-H3N2,HA-H3N2,0.0
cds_frame_k6,HA-H3N2,NA-H1N1,0.8859413637628382
cds_frame_k6,HA-H3N2,NA-H3N2,0.9252849282982806
cds_frame_k6,NA-H1N1,HA-H1N1,0.8987931503727956
cds_frame_k6,NA-H1N1,HA-H3N2,0.8859413637628382
cds_frame_k6,NA-H1N1,NA-H1N1,0.0
cds_frame_k6,NA-H1N1,NA-H3N2,0.8913728034652973
cds_frame_k6,NA-H3N2,HA-H1N1,0.893491522221331
cds_frame_k6,NA-H3N2,HA-H3N2,0.9252849282982806
cds_frame_k6,NA-H3N2,NA-H1N1,0.8913728034652973
cds_frame_k6,NA-H3N2,NA-H3N2,0.0
cds_nonoverlap_k3_offset0,HA-H1N1,HA-H1N1,0.0
cds_nonoverlap_k3_offset0,HA-H1N1,HA-H3N2,0.1941286836444269
cds_nonoverlap_k3_offset0,HA-H1N1,NA-H1N1,0.23171959942132583
