tokenizer,protein,subtype,protein_subtype,n_sequences,mean_entropy_bits,median_entropy_bits,sd_entropy_bits,mean_effective_vocab_size
cds_codon,HA,H1N1,HA-H1N1,2348,5.575327091422972,5.573852173999093,0.013057185247323714,47.68244720681401
cds_codon,HA,H3N2,HA-H3N2,1988,5.638777426667613,5.638243241285471,0.010360188217602814,49.825578031885605
cds_codon,NA,H1N1,NA-H1N1,2577,5.598105788202533,5.60249543212334,0.01620329653270882,48.44232474213425
cds_codon,NA,H3N2,NA-H3N2,2061,5.661182401822769,5.660523625531731,0.008358885979772393,50.60495035601108
cds_frame_k3,HA,H1N1,HA-H1N1,2348,5.575327091422972,5.573852173999093,0.013057185247323714,47.68244720681401
cds_frame_k3,HA,H3N2,HA-H3N2,1988,5.638777426667613,5.638243241285471,0.010360188217602814,49.825578031885605
cds_frame_k3,NA,H1N1,NA-H1N1,2577,5.598105788202533,5.60249543212334,0.01620329653270882,48.44232474213425
cds_frame_k3,NA,H3N2,NA-H3N2,2061,5.661182401822769,5.660523625531731,0.008358885979772393,50.60495035601108
cds_frame_k6,HA,H1N1,HA-H1N1,2348,8.022203983820678,8.021849453071566,0.015614374970127229,259.98569450086103
cds_frame_k6,HA,H3N2,HA-H3N2,1988,8.05045411137543,8.052785451312426,0.018363448559299663,265.13266625964286
cds_frame_k6,NA,H1N1,NA-H1N1,2577,7.771330222997063,7.782899925288387,0.029404618651395247,218.52070132080323
cds_frame_k6,NA,H3N2,NA-H3N2,2061,7.755713504259159,7.754155723151523,0.018966838068661434,216.14238568332192
cds_nonoverlap_k3_offset0,HA,H1N1,HA-H1N1,2348,5.575327091422972,5.573852173999093,0.013057185247323714,47.68244720681401
cds_nonoverlap_k3_offset0,HA,H3N2,HA-H3N2,1988,5.638777426667613,5.638243241285471,0.010360188217602814,49.825578031885605
cds_nonoverlap_k3_offset0,NA,H1N1,NA-H1N1,2577,5.598105788202533,5.60249543212334,0.01620329653270882,48.44232474213425
cds_nonoverlap_k3_offset0,NA,H3N2,NA-H3N2,2061,5.661182401822769,5.660523625531731,0.008358885979772393,50.60495035601108
cds_nonoverlap_k3_offset1,HA,H1N1,HA-H1N1,2348,5.665350417664961,5.665710710028836,0.008304735513696385,50.75134937114516
cds_nonoverlap_k3_offset1,HA,H3N2,HA-H3N2,1988,5.672105249500647,5.672273383817469,0.011885022890914821,50.990414913644635
cds_nonoverlap_k3_offset1,NA,H1N1,NA-H1N1,2577,5.661396401496619,5.6608034464073045,0.009629538147968386,50.61273553896756
cds_nonoverlap_k3_offset1,NA,H3N2,NA-H3N2,2061,5.685214322873483,5.685757942497493,0.014198930267934987,51.456596467431034
cds_nonoverlap_k3_offset2,HA,H1N1,HA-H1N1,2348,5.672366960415478,5.6747481818630785,0.01128516356058213,50.99948891298626
cds_nonoverlap_k3_offset2,HA,H3N2,HA-H3N2,1988,5.677130673706821,5.677662597151715,0.010193207393996803,51.167882683850614
cds_nonoverlap_k3_offset2,NA,H1N1,NA-H1N1,2577,5.6256779973690065,5.6291240028893395,0.01323888947487613,49.37601297118742
cds_nonoverlap_k3_offset2,NA,H3N2,NA-H3N2,2061,5.6311515198123825,5.630026713447795,0.01402305138692388,49.56396350840219
raw_nonoverlap_k3,HA,H1N1,HA-H1N1,5000,5.6102604314050595,5.597437259781326,0.04067160412335768,48.86856554083105
raw_nonoverlap_k3,HA,H3N2,HA-H3N2,5000,5.659267127522772,5.6592128233321075,0.021370466290700597,50.54251194290598
raw_nonoverlap_k3,NA,H1N1,NA-H1N1,5000,5.619901656592293,5.6081365556488265,0.03719596320215877,49.193011848840655
raw_nonoverlap_k3,NA,H3N2,NA-H3N2,5000,5.655796982414968,5.65765573305741,0.01703613009245368,50.41906685845446
raw_nonoverlap_k4,HA,H1N1,HA-H1N1,5000,7.264806924906706,7.2711970717262355,0.02963623066138074,153.82102092608943
raw_nonoverlap_k4,HA,H3N2,HA-H3N2,5000,7.254619383617965,7.256254118886509,0.0248523575474533,152.72921321723712
raw_nonoverlap_k4,NA,H1N1,NA-H1N1,5000,7.243531550472969,7.245716801390438,0.03841572504198532,151.5911654714593
raw_nonoverlap_k4,NA,H3N2,NA-H3N2,5000,7.272084990450639,7.261587060028022,0.03483555117370411,154.61180141064096
raw_nonoverlap_k5,HA,H1N1,HA-H1N1,5000,7.976774216647057,7.97437153186211,0.028652257228647265,251.96152068397114
raw_nonoverlap_k5,HA,H3N2,HA-H3N2,5000,7.953598844563169,7.948765627744533,0.03724697520361723,247.9801084848924
raw_nonoverlap_k5,NA,H1N1,NA-H1N1,5000,7.787826765978601,7.788418196339765,0.03149637524163124,221.0410491307493
raw_nonoverlap_k5,NA,H3N2,NA-H3N2,5000,7.798251794614049,7.795708204529731,0.028210273739934934,222.63368010099083
raw_nonoverlap_k6,HA,H1N1,HA-H1N1,5000,8.01880621965226,8.020270534892639,0.024252923308338004,259.39563198736096
raw_nonoverlap_k6,HA,H3N2,HA-H3N2,5000,8.040463494842383,8.047746140970682,0.031474834264938974,263.34406549003563
raw_nonoverlap_k6,NA,H1N1,NA-H1N1,5000,7.771106038080413,7.774389286990515,0.028991465777242695,218.48571234649808
raw_nonoverlap_k6,NA,H3N2,NA-H3N2,5000,7.783456791760001,7.782899925288387,0.0334328836519639,220.37927742874464
raw_overlap_k3,HA,H1N1,HA-H1N1,5000,5.772177245833303,5.77290059206322,0.010655770245211436,54.65253784588017
raw_overlap_k3,HA,H3N2,HA-H3N2,5000,5.78752503939301,5.786721823284083,0.008305626006331565,55.23646140588395
