tokenizer,dataset,source,family,mode,k,offset,frame,boundary_context,n_sequences,total_tokens,mean_sequence_length,mean_tokens_per_sequence,mean_tokens_per_kb,mean_unique_tokens,mean_entropy_bits,mean_effective_vocab_size,mean_cpg_token_fraction,mean_upa_token_fraction,mean_boundary_crossing_fraction,observed_vocab_size
cds_codon,mvp_cds_refined_panel,cds_refined,codon,codon,3,0,0,cds_refined_codon_aligned,8974,4639220,1550.8870069088478,516.9623356362825,333.33333333333337,59.2577445954981,5.615642197596501,49.04661340686502,0.02225832480925724,0.1072154831243464,0.0,68
cds_frame_k3,mvp_cds_refined_panel,cds_refined,frame_aware_kmer,frame_aware,3,0,0,cds_refined_frame0,8974,4639220,1550.8870069088478,516.9623356362825,333.33333333333337,59.2577445954981,5.615642197596501,49.04661340686502,0.02225832480925724,0.1072154831243464,0.0,68
cds_frame_k6,mvp_cds_refined_panel,cds_refined,frame_aware_kmer,frame_aware,6,0,0,cds_refined_frame0,8974,2317384,1550.8870069088478,258.2331178961444,166.518346708928,244.16525518163584,7.8952174330696305,239.149482439183,0.07467275224811626,0.24920633492838565,1.0,3058
cds_nonoverlap_k3_offset0,mvp_cds_refined_panel,cds_refined,non_overlapping_kmer,non_overlapping,3,0,0,cds_refined_offset_sensitivity,8974,4639220,1550.8870069088478,516.9623356362825,333.33333333333337,59.2577445954981,5.615642197596501,49.04661340686502,0.02225832480925724,0.1072154831243464,0.0,68
cds_nonoverlap_k3_offset1,mvp_cds_refined_panel,cds_refined,non_overlapping_kmer,non_overlapping,3,1,1,cds_refined_offset_sensitivity,8974,4630246,1550.8870069088478,515.9623356362825,332.682876510924,62.893804323601515,5.670273374502301,50.92647403332618,0.04299570705267947,0.12675801889393945,1.0,68
cds_nonoverlap_k3_offset2,mvp_cds_refined_panel,cds_refined,non_overlapping_kmer,non_overlapping,3,2,2,cds_refined_offset_sensitivity,8974,4630246,1550.8870069088478,515.9623356362825,332.682876510924,61.86772899487408,5.650549240465562,50.24090316032468,0.03492410722721156,0.0930115509992588,1.0,68
raw_nonoverlap_k3,mvp_panel,raw_nucleotide,non_overlapping_kmer,non_overlapping,3,0,0,position0_proxy_not_cds,20000,10496741,1574.98755,524.83705,333.2306280535819,60.70595,5.6363065494837725,49.755789047758036,0.03006387924016974,0.10994828429097851,0.0,114
raw_nonoverlap_k4,mvp_panel,raw_nucleotide,non_overlapping_kmer,non_overlapping,4,0,0,position0_proxy_not_cds,20000,7868050,1574.98755,393.4025,249.7752768599535,181.66135,7.258760712362069,153.1883002563567,0.05088745181781761,0.15998234557094965,1.0,355
raw_nonoverlap_k5,mvp_panel,raw_nucleotide,non_overlapping_kmer,non_overlapping,5,0,0,position0_proxy_not_cds,20000,6294280,1574.98755,314.714,199.82151748894825,253.36265,7.87911290545072,235.90408960015088,0.06753446448212277,0.20188007732431582,1.0,1141
raw_nonoverlap_k6,mvp_panel,raw_nucleotide,non_overlapping_kmer,non_overlapping,6,0,0,position0_proxy_not_cds,20000,5243363,1574.98755,262.16815,166.4604811829263,246.0789,7.903458136083765,240.4011718131598,0.0806133284665786,0.25105576432487353,1.0,4113
raw_overlap_k3,mvp_panel,raw_nucleotide,overlapping_kmer,overlapping,3,0,0,position0_proxy_not_cds,20000,31459751,1574.98755,1572.98755,998.7184813771229,64.0415,5.799372233298344,55.698445804451396,0.03336081865196039,0.10814030474943474,0.6663417801050301,121
raw_overlap_k4,mvp_panel,raw_nucleotide,overlapping_kmer,overlapping,4,0,0,position0_proxy_not_cds,20000,31439751,1574.98755,1571.98755,998.0777220656846,243.6413,7.627412085220407,197.7706364097078,0.04986046739327506,0.15951250875786932,1.0,458
raw_overlap_k5,mvp_panel,raw_nucleotide,overlapping_kmer,overlapping,5,0,0,position0_proxy_not_cds,20000,31419751,1574.98755,1570.98755,997.436962754246,695.98605,9.166377436030396,574.6437660647399,0.06633938460824809,0.20670679744052245,1.0,1409
raw_overlap_k6,mvp_panel,raw_nucleotide,overlapping_kmer,overlapping,6,0,0,position0_proxy_not_cds,20000,31399751,1574.98755,1569.98755,996.7962034428075,1190.63975,10.083480880850004,1086.0388621644142,0.08264701951692743,0.2515667166195143,1.0,4646
