sample_size_requested,sample_size_used,seed,trim,status,runtime_seconds,dimension,intercept,r2,n_used,zero_or_invalid_distances,n_trimmed,mu_min,mu_median,mu_max
5000,5000,42,0.01,ok,0.3106379508972168,4.000225209863202,0.18154438166337064,0.9808915949488494,4900,0,100,1.0012971279476277,1.120873808804538,4.36913077953372
5000,5000,42,0.05,ok,0.08460378646850586,5.674450407659221,0.003357898792209305,0.9735715000069461,4500,0,500,1.0075255420674119,1.120873808804538,2.2503320155620217
5000,5000,7,0.01,ok,0.08837199211120605,3.8460460506414793,0.18675186888411802,0.9818468425427926,4900,0,100,1.0013761884797152,1.119087297282322,4.557466408131139
5000,5000,7,0.05,ok,0.08015322685241699,5.3654006035371795,0.024689226283425982,0.970797546328869,4500,0,500,1.0075214498474618,1.119087297282322,2.3264351892235684
5000,5000,123,0.01,ok,0.08750534057617188,3.832462789819109,0.18161645545765034,0.9799886082994959,4900,0,100,1.0011841121680842,1.1271366059162218,4.500267124500291
5000,5000,123,0.05,ok,0.08791399002075195,5.450903622470672,0.0019054391881100812,0.9705904756101696,4500,0,500,1.0067880333319779,1.1271366059162218,2.287601359202671
10000,10000,42,0.01,ok,0.2999758720397949,3.9106493789507506,0.20044853144840777,0.9775491073058824,9800,0,200,1.0012891761015756,1.1187181428125474,4.530216408003718
10000,10000,42,0.05,ok,0.27872776985168457,5.61415370392911,0.021818145153569307,0.9743784878092405,9000,0,1000,1.006691220273923,1.1187181428125474,2.3084559930157975
10000,10000,7,0.01,ok,0.24762511253356934,3.821809919785554,0.18838564041123995,0.9770582538037844,9800,0,200,1.001246554125024,1.1213675685883073,4.378826298114549
10000,10000,7,0.05,ok,0.24808573722839355,5.382820205412323,0.020070830663350907,0.9700391377495566,9000,0,1000,1.0070049758650328,1.1213675685883073,2.3510547507318518
10000,10000,123,0.01,ok,0.24349594116210938,3.907977379027734,0.17850286516562663,0.980754318267432,9800,0,200,1.0012874541438617,1.122370914762923,4.468383524389549
10000,10000,123,0.05,ok,0.2819089889526367,5.486008001668422,0.00802359025089658,0.9724256298338179,9000,0,1000,1.0065115465163998,1.122370914762923,2.3028275979801434
20000,20000,42,0.01,ok,0.7470428943634033,3.8855247188116286,0.1907704012423217,0.9786509945438024,19600,0,400,1.0012891257870036,1.118198970980276,4.359836771482284
20000,20000,42,0.05,ok,0.6601531505584717,5.465463756831798,0.024179765428596206,0.9709641441577949,18000,0,2000,1.006755295032895,1.118198970980276,2.3071948014049144
20000,20000,7,0.01,ok,0.6610260009765625,3.7940894353786345,0.19870039497614259,0.9765276740497824,19600,0,400,1.001366330831264,1.1202386377343325,4.591897624001218
20000,20000,7,0.05,ok,0.6573739051818848,5.394672220023235,0.02739145584791275,0.9712387995487765,18000,0,2000,1.0071301650031081,1.1202386377343325,2.3331375465715225
20000,20000,123,0.01,ok,0.6505911350250244,3.8823002164402003,0.1910654462834521,0.9777811188448026,19600,0,400,1.0013524214033944,1.11831357140621,4.409189431159204
20000,20000,123,0.05,ok,0.6797151565551758,5.487323025051452,0.02109431084210549,0.9711945695531178,18000,0,2000,1.006877220757521,1.11831357140621,2.3109345200787734
50000,50000,42,0.01,ok,4.201620101928711,3.963440050325429,0.17309321423778554,0.9802459181936736,49000,0,1000,1.0012689213740515,1.1202699496670183,4.195569264250258
50000,50000,42,0.05,ok,4.274370908737183,5.453794043926649,0.01664498194447004,0.9705271486660699,45000,0,5000,1.0069259317995116,1.1202699496670183,2.3028159905814576
50000,50000,7,0.01,ok,4.217973947525024,3.798125912546452,0.18537397806936007,0.9795785690760509,49000,0,1000,1.0012913367939715,1.1227708383630843,4.507477779145222
50000,50000,7,0.05,ok,4.242660760879517,5.286325418099172,0.024963750758076917,0.9703181609335638,45000,0,5000,1.007109569670703,1.1227708383630843,2.357586832590554
50000,50000,123,0.01,ok,4.270228147506714,3.951139601011676,0.17381607945747904,0.979770971739886,49000,0,1000,1.001432784718961,1.1213392907312445,4.170854301445446
50000,50000,123,0.05,ok,4.355427980422974,5.4462365101574575,0.016397637631286557,0.9703021654141554,45000,0,5000,1.0071188358161383,1.1213392907312445,2.2967890520178638
